Date,PartID,Which program(s) did/do you attend?,Which of the following courses did you attend?,For how many organizations did you already work?,Please self-evaluate your skill level in modelling business processes with the fCM approach.,"The process participants can execute the activity ""CC"" at most once.",The employment of a candidate requires at least one interview.,An incomplete application can directly lead to the rejection of an application.,"As soon as a candidate is invited to an interview, the process participants cannot check her application for completeness anymore.","The process model can produce the activity sequence <CC, AD, RD, IC, CI, RI, RA>.",Each application must be checked for completeness.,"If the process participants decide for a candidate, the candidate must sign the contract that the process can terminate.","For each conducted interview, a separate instance of the data object ""Interview"" exists.","The activities ""CI"" and ""IC"" can be executed concurrently.",The process model allows the handling of two applications from two different candidates within a single process instance.,"The activity ""IC"" can be executed at most twice.","The process model allows the activity sequence <CC, IC, IC', CI', CI, RI, WC, SC> and the termination condition is fulfilled afterwards. ","The process model allows the activity sequence <CC, IC, IC', CI', IC'', CI'', CI, RI, WC, SC> and the termination condition is fulfilled afterwards. ","How often can the activity ""RI"" executed at most?",How many contracts can be written for a candidate?,fCM Skill Score,It was hard to understand the recruiting process.,It was hard to understand the fCM model.
06/07/2024,5,"Bachelor Student ""IT Systems Engineering"", Master Student ""IT Systems Engineering""","Modellierung I, Modellierungssprachen & Formalismen, POIS, Trends in BPM Research",4,3,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,1,1,15,Disagree,Weak Disagree
06/07/2024,6,"Bachelor Student ""IT Systems Engineering"", Master Student ""IT Systems Engineering""","Modellierung I, POIS",3,2,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,1,1,14,Weak Disagree,Weak Disagree
05/07/2024,7,"Bachelor Student ""IT Systems Engineering"", Master Student ""IT Systems Engineering""",Modellierung I,2,1,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,1,1,15,Weak Agree,Weak Disagree
05/07/2024,8,"Bachelor Student ""IT Systems Engineering"", Master Student ""IT Systems Engineering"", PhD Student","Modellierung I, POIS, POIS in der Praxis, Complex Event Processing, Pearls in Business Process Management, Advances in BPM Research, Business Process Compliance, Trends in BPM Research",2,5,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,1,1,15,Disagree,Weak Disagree
09/07/2024,10,"Bachelor Student ""IT Systems Engineering"", Master Student ""IT Systems Engineering""",Modellierung I,4,0,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,1,1,12,Agree,Agree
05/07/2024,11,"Master Student ""Digital Health""",None of them,2,1,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,> 4,1,6,Weak Agree,Weak Agree
08/07/2024,12,"Bachelor Student ""IT Systems Engineering"", Master Student ""IT Systems Engineering"", PhD Student","Modellierung I, POIS, Complex Event Processing, Business Process Compliance, Trends in BPM Research",2,3,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,1,1,15,Weak Disagree,Weak Agree
09/07/2024,13,PhD Student,Business Process Intelligence,3,1,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,1,1,10,Weak Disagree,Weak Agree
08/07/2024,14,PhD Student,"Modellierung I, POIS, Complex Event Processing, Business Process Compliance, Trends in BPM Research",2,5,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,1,1,14,Weak Disagree,Weak Disagree
10/07/2024,15,PhD Student,None of them,4,3,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,2,1,10,Disagree,Agree
08/07/2024,16,"Bachelor Student ""IT Systems Engineering"", Master Student ""IT Systems Engineering""","Modellierung I, Modellierungssprachen & Formalismen, POIS, POIS in der Praxis, Business Process Intelligence",1,3,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,1,1,14,Weak Disagree,Weak Agree
17/07/2024,17,"Master Student ""Cybersecurity"", Bachelor Informatik",None of them,4,0,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,1,1,15,Weak Disagree,Weak Agree
23/07/2024,18,"Bachelor Student ""IT Systems Engineering"", Master Student ""IT Systems Engineering""","Modellierung I, Modellierungssprachen & Formalismen",5,0,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,1,1,12,Weak Disagree,Weak Agree
07/07/2024,30,M.Sc. in Computer Science,None of them,6,0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,1,1,11,Disagree,Weak Disagree
04/07/2024,31,M.Sc. in Computer Science,None of them,5,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,1,1,11,Disagree,Weak Disagree
11/07/2024,32,M.Sc. in Computer Science,None of them,9,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,1,1,8,Disagree,Weak Agree
12/07/2024,33,M.Sc. in Computer Science,None of them,1,0,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,1,1,11,Weak Disagree,Weak Agree
