#,Process,Phase,Date,PartID,Role,I enhanced the group work,I was able to communicate my thoughts,I was able to communicate my role's responsibilities,I was able to communicate solutions how my group could express the process knowledge as elements in the fCM model,I perceived that my teammates understood my concerns,I felt stressed during the modelling session,It was a challenging task to understand the given process,It was challenging to formalise the given process as an fCM model,I understood my role,I was able to identify with my role,It was challenging to undertand the upcoming model,I understood the tasks on the action cards,It was challenging to lead a phase,It was a challenge to map out my activities during the individual work phase,The game board was helpful because it visualised the progress and the current state of our modelling session,The game simplified the conduction of the modelling session,I faced motor challenges in handling the fragment templates,I would have preferred a dedicated person who is responsible for leading all phases of the game,Which phase's task was particularly difficult to understand?,Which phase did you consider to be of little value in the context of a modelling session?,Which phase did you find particularly valuable in the context of a modelling session?,Contribution for understanding the whole process - Lawyer,Contribution for understanding the whole process - Psychologist,Contribution for understanding the whole process - Financial Expert,Contribution for understanding the whole process - Sales Expert,Contribution for understanding the whole process - Project Manager,Contribution for understanding the whole process - Employee,Contribution for understanding the whole process - Information Security Officer,Contribution in expressing the process knowledge as an fCM model - Lawyer,Contribution in expressing the process knowledge as an fCM model - Psychologist,Contribution in expressing the process knowledge as an fCM model - Financial Expert,Contribution in expressing the process knowledge as an fCM model - Sales Expert,Contribution in expressing the process knowledge as an fCM model - Project Manager,Contribution in expressing the process knowledge as an fCM model - Employee,Contribution in expressing the process knowledge as an fCM model - Information Security Officer,Main activity during modelling session - Lawyer,Main activity during modelling session - Psychologist,Main activity during modelling session - Financial Expert,Main activity during modelling session - Sales Expert,Main activity during modelling session - Project Manager,Main activity during modelling session - Employee,Main activity during modelling session - Information Security Officer
1,M&A,Discovery,24.07.24,7,Financial Expert,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,/,/,/,/,/,/,/,/,/,/,Made a notable contribution,Made a minimal contribution,I played this role,Made a significant contribution,/,/,/,Made a notable contribution,Made a notable contribution,I played this role,Made a significant contribution,/,/,/,Searched incessantly solutions for contentual frictions.,Listened a lot,I played this role,Explained a lot modelling concepts,/,/,/
2,M&A,Discovery,24.07.24,17,Lawyer,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly disagree,Disagree,Agree,Strongly Agree,Strongly Agree,I am not sure,/,/,/,/,/,/,/,/,/,/,I played this role,Made a significant contribution,Made a notable contribution,Made a notable contribution,/,/,/,I played this role,Made a minimal contribution,Made a significant contribution,Made a significant contribution,/,/,/,I played this role,Listened a lot,Took many decisions,Explained a lot modelling concepts,/,/,/
3,M&A,Discovery,24.07.24,13,Psychologist,Strongly Agree,Agree,Agree,I am not sure,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,/,/,/,/,/,/,/,/,/,/,Made a notable contribution,I played this role,Made a significant contribution,Made a notable contribution,/,/,/,Made a notable contribution,I played this role,Made a significant contribution,Made a notable contribution,/,/,/,Took many decisions,I played this role,Took many decisions,Explained a lot modelling concepts,/,/,/
4,M&A,Discovery,24.07.24,8,Sales Expert,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,I am not sure,Agree,Agree,Disagree,/,/,/,/,/,/,/,/,/,/,Made a significant contribution,Made a minimal contribution,Made a significant contribution,I played this role,/,/,/,Made a significant contribution,Made a minimal contribution,Made a significant contribution,I played this role,/,/,/,Asked various questions,Listened a lot,Took many decisions,I played this role,/,/,/
5,Change Management,Discovery,22.07.24,18,Lawyer,Agree,Agree,Strongly Agree,I am not sure,Agree,I am not sure,Agree,Agree,Strongly Agree,Agree,Disagree,/,/,/,/,/,/,/,/,/,/,I played this role,/,/,/,Made a notable contribution,Made a minimal contribution,Made a significant contribution,I played this role,/,/,/,Made no contribution,Made a minimal contribution,Made a significant contribution,I played this role,/,/,/,Asked various questions,Listened a lot,Searched incessantly solutions for contentual frictions.
6,Change Management,Discovery,22.07.24,14,Information Security Officer,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I am not sure,Agree,I am not sure,Agree,Agree,Disagree,/,/,/,/,/,/,/,/,/,/,Made a notable contribution,/,/,/,Made a significant contribution,Made a minimal contribution,I played this role,Made a notable contribution,/,/,/,Made a notable contribution,Made a significant contribution,I played this role,Asked various questions,/,/,/,Asked various questions,Listened a lot,I played this role
7,Change Management,Discovery,22.07.24,6,Project Manager,Agree,Agree,Agree,Agree,Agree,I am not sure,Strongly Agree,Strongly Agree,Agree,Strongly Agree,I am not sure,/,/,/,/,/,/,/,/,/,/,Made a significant contribution,/,/,/,I played this role,Made a notable contribution,Made a significant contribution,Made a significant contribution,/,/,/,I played this role,Made a notable contribution,Made a significant contribution,Asked various questions,/,/,/,I played this role,Listened a lot,Took many decisions
8,Change Management,Discovery,22.07.24,12,Employee,I am not sure,Agree,Agree,Disagree,Agree,I am not sure,Agree,Strongly Agree,Agree,Agree,Agree,/,/,/,/,/,/,/,/,/,/,Made a minimal contribution,/,/,/,Made a notable contribution,I played this role,Made a minimal contribution,Made a notable contribution,/,/,/,Made a minimal contribution,I played this role,Made a significant contribution,Searched incessantly solutions for contentual frictions.,/,/,/,Asked various questions,I played this role,Took many decisions
9,Change Management,Evaluation,19.09.24,7,Information Security Officer,Agree,Strongly Agree,Strongly Agree,I am not sure,Strongly Agree,Disagree,I am not sure,Agree,Strongly Agree,Strongly Agree,I am not sure,Strongly Agree,Strongly disagree,Disagree,Agree,Strongly Agree,Strongly disagree,Strongly disagree,Phase 2,Phase 7,Phase 5,Made a notable contribution,/,/,/,Made a significant contribution,Made a significant contribution,I played this role,Made a minimal contribution,/,/,/,Made a minimal contribution,Made a significant contribution,I played this role,Listened a lot,/,/,/,Searched incessantly solutions for contentual frictions.,Explained a lot modelling concepts,I played this role
10,Change Management,Evaluation,19.09.24,17,Lawyer,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,I am not sure,Agree,Agree,Strongly disagree,I am not sure,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Phase 6,Phase 6,Phase 5,I played this role,/,/,/,Made a significant contribution,Made a significant contribution,Made a notable contribution,I played this role,/,/,/,Made a significant contribution,Made a significant contribution,Made a notable contribution,I played this role,/,/,/,Took many decisions,Explained a lot modelling concepts,Took many decisions
